Question,Kobart-summary
일을 하다 보면 영어로 서류를 작성해야 될 일이 생길 수도 있는데 그럴 때마다 영어로 서류를 작성하실 수 있으실까요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 대학 생활을 오 년 넘게 하면서 가장 많이 했던 일 중의 하나가 바로 영어로 페이퍼를 쓰는 것인데 높은 점수를 맞아야 지피에이를 높게 유지할 수 있고 그 학생의 태도와 전반적인 생활을 단적으로 보여주는 예가 되기 때문에 회사에 이직하거나 취직할 때 좋은 활용도를 보여줄 수 있는 척도가 될 수 있습니다.                                에세이
지원자님께서는 본인이 팀으로 일하는 것과 혼자 일하는 것 중에 어떤 것을 더 선호하시는지 궁금합니다 또 그리고 그것을 더 선호하시는 이유도 함께 말씀해 주시길 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 팀으로 일하면서 소통을 하고 또 제가 가진 아이디어 말고 다른 사람은 어떻게 생각하는지에 대해 들을 수 있는 좋은 기회라고도 생각합니다. 저는 팀으로 일하는 것을 더욱 선호합니다.  그 조직은 그 혼자인 사람보다 더 큰 힘을 발휘하고 더 멀리 갈 수 있는 원동력이 된다고 생각하기 떄문인                               .
지원자분 본인께서 지금까지 살면서 이뤄왔던 성과들 가운데에서 가장 큰 성과는 무엇일지 궁금합니다 자랑 한번 해 주시면 좋겠습니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 살면서 가장 크게 이룬 성과 중 하나는 미국 자격증인 피엠피이다. 피엠피는 미국에서 주최하는 그 자격증 시험이고 자격증 시험하고 유지하는 데 있어서도 비용이 들지만 전 세계적으로 프로젝트 매니저를 배양하고 자질을 확인하고 유지하기 위한 준비된 시험 제도로서 이 시험 과목을 어 자격증을 획득하면서 향후에 업무를 수행하는 데 있어서 프로젝트 매니저로서 어떠한 일을 수행하고 어떻게 일 처리를 하는지 기본적인 백그라운드를 많이 얻을 수 있었던 것이 가장 큰 성과였다.
기차가 운행 시에 산사태로 삼십 분 동안 정차되었습니다 만약 지원자님이 관리 책임자라면 이 상황에 어떻게 조치하실 건가요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 기차에 타고 있는 승객들이 그 상황을 먼저 알고 있는 인지를 하고 있는 것이 가장 중요하기 때문에 먼저 방송을 통해서 양해의 말씀을 구한 다음에 산사태가 발생되어서 삼십 분 동안 정차를 하게 되었습니다 라고 방송을 할 것 같습니다. 그리고 승객들에게 최대한 불안감을 느끼지 않도록 하는 것이 가장 중요한 제 역할이라고 생각합니다.                               .
삼 년 내 자신의 주요 성장 계획이나 목표가 있습니까,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 삼 년 뒤에 바디 프로필을 찍는 것을 목표로 운동을 하고 있습니다. 내년에는 살을 뺄 계획이고 마지막에는 근력까지 키워서 바디피로 바디 프로필을 찍고 싶습니다.                              ......              .
지원자님께서 본인의 단점이 있다면 말씀해 주시고 또 본인이 지금까지 그것을 보완하기 위해서 하신 노력이 있으시다면 함께 말씀해 주시길 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 엠비타이 마지막이 피라는 것에서 알 수 있듯이 저는 계획적인 것보다는 즉흥적인 사람 성격인데 평소에도 계획을 하고 하는 것 보다는 즉흥적으로 뭘 다른 곳으로 일을 진행하는 것을 즐기기도 하며 거기서 오는 우발적인 상황들에 대해서 전혀 생각하지 못했던 상황이기 때문에 그 점에서 오는 재미를 느끼고 거기서부터 다른 일을 하는 것도 굉장히 좋아해서 그 점에서 오는 재미를 느끼고 거기서부터 다른 일을 하는 것도 굉장히 좋아해서 다른 다른 일들을 할 때도 즉흥적으로 하게 되어서 계획을 하고 철저히 하게 해야 되는 일들을 할 때 좀 어려움이 있었습니다.
지원자님께서 직장을 선택하실 때 가장 중요하게 생각하는 세 가지는 무엇인가요 구체적으로 각각에 대해 말씀해 주세요,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 직장을 선택할 때 가장 중요하게 생각하는 세 가지 중 첫 번째는 회사 자본이며, 두 번째는 그 회사를 대표하는 대표자의 인품이 중요하다고 생각한다. 마지막 세 번째는 회사의 비전이기에 의지와 열정이 생길 수 있다는 점이다.                              .             ......"
기차가 운행을 하다가 산사태로 삼십 분 동안 정차하게 되었습니다 그때 관리 책임의 위치에 있는 사람이라면 어떻게 조치하실 건가요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 기차가 운행 시 산사태로 삼십 분 동안 정차되었다면 우선 승객들에게 이 사실을 알리고 안전 조치가 확실하게 되었는지 확실하게 판단되기 전까지 정차를 해지하지 않겠습니다. 무엇보다 중요한 것은 승객들의 안전이기 때문에 시간이 더 지연될지라도 승객들에게 양해를 구하고 기차 운행이 괜찮은 상태인지 안전 점검을 하는 것이 우선적으로 필요하다고 생각합니다.
그동안 속해 있었던 조직이나 단체 속에서 지원자님은 주로 어떤 역할을 하는 사람이었는지 궁금합니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 밝은 성격으로 주변 친구들과 소통하는데 엇갈리는 점이 많았지만 징검다리 역할을 하여 원활히 소통을 하도록 도와주는 윤활유 역할을 한 것 같습니다.                               .                              의
본인의 생각이 아닌 지원자님의 다른 주변 사람들의 생각하는 지원자님의 단점과 장점을 모두 말씀해 주시기를 바랍니다,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 주변 사람들이 생각하는 저의 장점은 밝음입니다. 이 밝음이 혼자만 밝게 빛나는 것이 아니라 다수의 사람들까지도 그 빛을 비춰주는 것입니다. 또 그 사람들을 웃게 하는 매력이 있다고 합니다. 저는 사람들을 좋아하고 또 관심이 많고, 항상 행복했으면 좋겠고 웃었으면 좋겠다라는 마음을 항상 가지고 있는데 저의 이 마음이 그들에게 통했던 것 같습니다."
지원자분께서 지금까지 살면서 이룬 성과 중에 가장 큰 성과는 무엇이라고 생각하십니까 자랑 한번 해보시길 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 살아오면서 이뤄냈던 성과 중에 가장 큰 성과라고 생각하는 것은 대학교 진학인 것 같습니다. 이 사 년이라는 시간이 짧지 않은 만큼 굉장히 체계적이고 어 꾸준하게 목표를 세워서 그 목표를 결국에는 이루어냈다고 생각합니다.                              ......              .
직무 수행 시 모르는 과제가 등장했다면 어떠한 방식으로 해결하시겠습니까 그 해결법과 이유를 말씀해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 모르는 과제에 대한 기본 지식들을 제가 습득하고 정리해서 저만의 아이디어로 해결책을 한 번 제시해 볼 것 같습니다. 만약 그 해결책이 통과가 되지 않았을 때 도움을 요청 드려도 충분하다고 생각해서 오히려 저에게는 어떤 가치와 능력을 보여줄 수 있는 어 기회라고 생각하고 열심히 공부하고 자료 조사를 해서 음 한 번 스스로 생각대로 해결해 보도록 노력해 볼 것 같습니다.               .
지원자님은 협업을 할 때 사교성이 좋은 편인지 궁금합니다 사교성을 키우기 위해서 어떤 노력을 하셨는지도 궁금합니다,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 학창 시절부터 지금까지 주변 사람들한테 사교성이 굉장히 좋다는 얘기를 많이 들었고, 항상 리더 역할 조직을 이끄는 역할을 많이 했었습니다. 대학교 시절에도 동아리 대표를 맡을 정도로 사교성이 뛰어나고 책임감이 남들보다 강한 편입니다. 만약 본인이 좀 사교성이 부족한 사람이라고 느낀다면 제가 가장 좋아하는 취미 활동을 여러 사람들과 함께 할 것을 권유드립니다. 저도 그런 방식으로 사교성을 키워왔고, 지금은 누구보다도 협업할 때 사교성이 굉장히 좋은 편에 속합니다."
창의성과 팀워크 중 더 중요하게 생각하시는 것이 무엇인지 말씀해 주시고 그렇게 생각하시는 근거도 함께 얘기해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 팀워크를 가장 잘 표현할 수 있는 것은 스포츠라고 생각합니다. 팀워크를 통한다면 다른 개개인의 창의성과 같은 특별한 능력이 있을지라도 그보다 더 큰 성과를 이뤄낼 수 있다고 생각합니다. 아무리 창의성이 좋은 사람이 한 명 있다고 하더라도 팀워크를 통해 이 팀이 잘 조직이 된다면 가장 최고의 효율을 나타내는 결과를 나타낼 수 있을 거라고 생각합니다.
어 지원자님께서 의견을 주장하실 때 강하게 주장하는 편이실까요 아니면은 어떤 스타일로 자기네 자기 자신의 의견을 주장하시는지 그것 또한 저희에게 말씀해 주십시오,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저희 가족 집안 내력으로서 이런 강한 아집과도 같은 주장을 할 수 있는 피로 태어났다고 생각을 뭐 그렇습니다. 뭐 그렇습니다. 뭐 그렇죠. 뭐 그렇죠. 뭐 그렇기도 하고요. 이거는 사실 저는 사실 저는 음 집안 내력인 것 같아요.                              ......              .
살면서 가장 힘들었던 점이 무엇입니까 또 그 점을 극복하기 위해 어떤 노력을 하셨는지 궁금합니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 살면서 가장 힘들었던 건 경제적인 면이 가장 힘들었던 것 같습니다. 하지만 다행히 대학교에 입학하고부터는 가정 형편도 많이 좋아져서 그때는 이제 학업에 몰두할 수 있었습니다.                              ......              .
창의성과 팀워크 둘 중 무엇을 더 중요하게 생각하시나요 근거도 함께 들어서 말해주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 창의성과 팀워크 중에서 팀워크가 더 중요한 건 그 팀들의 생각들이 합쳐져서 시너지 효과를 발휘하며 더 큰 창의적인 아이디어가 나오기 때문이라고 생각합니다. 이를 토대로 좋은 팀워크를 통해 더 발전된 회사가 되도록 노력하겠습니다.                              .              .
어 보통 남을 잘 이끄는 리더형과 남을 잘 따르는 팔로워 형으로 나뉘곤 하는데요 지원자님이 생각하시기에 본인은 어떤 유형이라고 생각이 되시나요 그리고 그렇게 생각하시는 이유는 무엇인지 설명해 주시길 바랍니다,RND 직무의 인성면접에 참가하게 된 경력직 지원자입니다. 저는 중간 다리 역할을 굉장히 잘합니다. 이끄는 사람의 리더의 마음도 이해를 하고 따라와야 하는 사람들의 마음도 잘 알고 있기 때문에 상대방의 입장이 되어보지 않고서는 정확히 그 사람들의 마음을 이해하기 어렵다고 할 수 있습니다. 하지만 우리가 어떤 큰 대의를 보고 작은 부분에 집착하지 말고 큰 뜻을 보고서 같이 나가자. 네 그런 타입인 것 같습니다.
팀으로 하는 업무가 있고 또 혼자서 개인적으로 하는 업무가 있다고 했을 때 어떤 것들을 더 선호하는지 말씀을 해 주시죠 그리고 그 선호하는 이유에 대해서 구체적으로 말씀을 해 주시겠습니까,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 팀과 혼자 일하는 것 중에 팀으로 일하는 것을 더 선호합니다. 일이라는 것이 재미도 있어야 한다고 생각하기 때문입니다. 그래서 저는 업무를 할 때 팀으로 일하는 것을 더 선호하고 있고                업무는                              .
얼마 전 구급대원이 주취자에게 폭행을 당해 순직 당하는 안타까운 사건이 발생했습니다 그 사건에 대해 어떤 생각을 가지고 계신지 궁금합니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 구급 대원들이 출동 현장에서 심한 욕설을 들어도 참는 것이 일상이 되었다고 하나둘씩 말을 하고 있습니다. 물리적 폭행이 아닐 경우 피해 사실을 입증하기 힘들다고 합니다. 정보기관 입장에서는 민원이 제기되면 일이 커지는 게 부담스럽다면서 법적 분쟁까지 갈 경우 받게 되는 스트레스가 크기 때문에 억울해도 사과 한 번의 일을 마무리 하곤 한다고 합니다.
일의 특성 상 야근이나 잔업 외근이 많아질 수 있는데 면접자님께서는 어떻게 받아들이시겠습니까,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 아르바이트를 하면서 야근이 많거나 외근이 많더라도 잘 해낼 자신이 있습니다. 야근을 하면 몸이 힘들 수는 있지만 추가적으로 야근 수당 등을 받을 수 있기 때문에 잘 할 수 있고 외근도 상관없습니다.                               .             .
입사 후에 쉬운 일과 어려운 일이 있을 때 그 일에 대한 분배는 어떻게 하실지 일을 어떤 방법으로 나눠서 처리할 생각인지 궁금합니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 사람이 상식적으로 어려운 일을 먼저 한 다음 쉬운 일을 하게 되면 심리적으로나 뒤에 하는 일이 더욱 쉽게 느껴질 것입니다. 하지만 쉬운 일을 하고 어려운 일을 하게 된다면 일의 능률이나 시간 같은 경우도 훨씬 더 효율적으로 분배되어서 일 처리하는 데 크게 도움을 받을 것 같습니다. 그렇기 때문에 저는 굳이 쉬운 일과 어려운 일에 대해서 우선순위를 정해야 한다면 어려운 일을 먼저 시작한 뒤 그 일을 다 마치고 나서 그 다음에 쉬운 일을 처리하는데 힘을 쓸 것 같습니다.
입사 후에 근무를 하다가 정작 지원자님이 지원한 분야가 잘 맞지 않는다는 사실을 깨닫게 된다면 어떻게 하실 것 같아요,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 지원한 분야가 저와 맞지 않는다는 사실을 깨닫게 된다면 최대한 노력해 보겠습니다. 입사 후에 근무를 한다고 해서 부정이 되는 상황이기 때문에 이것이 맞지 않는 것인지 다른 이유 때문에 스스로를 회피하는 것인지 좀 더 파악을 하고 상황 파악을 하고 생각을 해 봐야 할 것 같습니다. 업무 변경을 하고자 할 때는 정확하게 어떤 업무를 하고 싶은지, 그 업무를 하는 담당자들을 통해서 실질적인 업무 수행은 어떻게 하는 것인지 그런 것들이 사전에 다 스터디가 되어 있어야 할 것 같습니다."
지원자님께서 직장을 선택할 때 가장 중요하게 생각하는 세 가지가 있다면 각각 무엇인지 말씀해 주시기 바랍니다,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 제가 직장을 선택할 때 가장 중요하게 생각하는 세 가지는 적성과 연봉 그리고 동료입니다. 우선 적성은 업무가 내 적성에 맞고 안 맞고가 매우 중요한 선택의 기준이 되는데 연봉을 아무리 많이 준다고 하더라도 제 적성에 맞지 않는 업무라면은 그 일을 지속하기는 어려울 것입니다. 저는 개인적으로 조금 내향적인 사람입니다. 타인과 대면하는 것이 위주인 업무는 정말 상상하기 어려운데, 타인과 대면하는 것이 주를 이루는 업무는 적성에 너무나 맞지 않기 때문에 아무리 많은 돈을 주더라도 제가 거기에 적응할 수 없고 빨리 그만두게 될 것입니다."
당신이 가진 기술 중에 가장 자신 있는 기술 분야는 어떠한 분야입니까 그 기술을 직무에 어떻게 활용할 것인지도 말씀해 주십시오,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 통번역 분야의 강점을 살려 국제 업무에서 회사에 기여하는 인재가 되고 싶습니다. 저는 다양한 통번역 경험을 통해서 이런 통번역 과정에서 생기는 많은 변수들에도 대처를 해 봤는데 이제는 많은 경험을 통해서 변수에서도 좋은 대처를 할 수 있는 능력도 갖췄습니다.                               .
우리 회사에 들어오게 되면 업무 스타일이 기존과 많이 달라질 수 있는데 기존과 다른 업무 스타일에도 잘 적응할 수 있을까요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 모든 회사에서는 효율적인 방안을 추구하기 때문에 이 업무 스타일이 결코 비효율적이라고 생각 되지는 않는다. 그렇기 때문에 기존과 달라지더라도 최대한 빠르게 수용하고 배워 나가서 업무에 잘 녹아질 수 있도록 노력할 것이다.                               .             .
팀원 중 의견이 안 맞는 직원이 있다면 어떻게 대처할 것인가요,RND 직무의 인성면접에 참가하게 된 경력직 지원자입니다. 팀원들 간에 의견이 맞지 않는 경우 그 의견에 대한 수렴을 먼저 하고 같은 공통된 생각에 대한 부분에 포인트를 가지고 다시 이야기를 시작하여 의견을 맞춰 나갑니다.                              .                              에
지금까지 살아오시면서 가장 힘들었던 경험은 무엇이었습니까 또 그것을 어떻게 극복하셨는지도 궁금합니다 말씀해 보시겠습니까,"RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 평소 친하게 지냈던 동기분들과 공모전 진행을 위해 서로 협업 중이었는데, 공적인 부분에서의 의견 충돌이 일어나다 보니 사적인 감정이 상하게 되고 서로 안 좋은 시선으로 보게 되는 그런 상황들이 오게 되었습니다. 제가 먼저 다가가자 인간관계가 좀 좋게 해소되는 경험들이 저에게 큰 어떤 경험이 되었습니다."
자신의 생각이 아닌 지원자님의 다른 주변인들이 생각하는 자신의 단점과 장점을 모두 말씀해 주세요,"RND 직무의 인성면접에 참가하게 된 경력직 지원자입니다. 남들은 직설적으로 말을 많이 한다는 말을 듣고, 장점이라면 현명하고 똑똑하며 외향적이고 활발하다는 것이다. 그래서 사람들하고 많이 친하다 그래서 그게 장점이다 라고 말한다.                              ......"
협업을 할 때는 사교성이 좋은 편이신가요 그렇다면 사교성을 키우기 위해서는 어떤 것을 노력해 보셨나요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 협업에서는 의사소통 능력이 매우 중요하고 여기에서는 상대방을 공감하는 것이 중요합니다. 상대방과 공감하고 일에 대해 더 잘 얘기할 수 있다면 앞으로 있을 협업에서 좋은 결과를 나타낼 수 있을 것입니다.                                             .
지금까지 살아오시면서 새로운 환경에서 전혀 몰랐던 일을 본인이 맡아서 하신 경험이 있으신가요 있으시다면 한 번 소개해 주시기 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 대학교 졸업 이후 영어의 부족함과 넓은 세상을 체험하고자 선택했던 해외 봉사는 저를 한 단계 발전시킨 경험이라고 생각합니다. 계속해서 부딪치며 장벽을 깨는 방법을 통해 저는 한 단계 더 발전할 수 있었던 것 같습니다.                               .             ......
지원자님께서 생각하시기에 협업을 할 때 가장 중요하게 생각하신 것이 있다면 무엇이라고 말씀하시겠습니까 그리고 왜 그것을 가장 중요하게 생각하시는지도 말씀해 주세요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 아 협업을 할 때 팀원들 간의 팀웍을 중간에서 조율하는 역할이 가장 중요합니다. 조장이 중간에서 힘든데도 그 조원들을 다독이고 조율하면 좋은 과제물이 탄생할 수 있기 떄문입니다.                                              .
다른 사람들이 생각하는 지원자님의 장단점은 뭐라고 생각하시나요 이유에 대해서도 함께 말씀해 주실 수 있나요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 일에 대한 열정이 있기에 저는 항상 일을 처리함에 있어서 쪼금은 급한 모습을 보이기도 하지만 그렇다고 하더라도 일 처리를 못하는 편이 아닌 아주 정확하고 제 시간에 끝낼 수 있는 능력을 갖출 수 있었습니다.                              ......              .
이전 직장이나 대학에서 어떤 프로젝트를 해 보셨나요 생각나시는 게 있다면 해당 프로젝트에 대해서 가능한 구체적으로 말씀해 주실 수 있을까요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 대학 시절 동아리에서 지역아동센터 아동들을 대상으로 요리 프로그램을 진행한 적이 있습니다. 이 센터는 맞벌이 부모 밑에서 자라는 아동들이 방과 후에 혼자 집에 있을 수 없으니 센터에 모여 함께 공부도 하고 또 문화 체험도 하는 활동들을 지원하는 곳이라고 할 수 있겠습니다. 가장 먼저 생각한 프로젝트가 이 프로젝트인 것 같습니다.
지원자분께서는 회사가 가지고 있는 덕목이 무엇이라고 생각하시는지 궁금합니다 그래서 지원자분께서는 어떤 회사가 가장 좋은 회사라고 생각하시는지 답변 부탁드리겠습니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 저는 회사의 덕목은 리더가 사람들과 소통이 잘 되는 것이라고 생각합니다. 조직 구성원 모두 네트워크를 통해 의사소통을 할 수 있는 인식을 심어주고 협업을 활성해 활성화해야 한다고 생각합니다. 그러므로 소통을 소통의 도구나 소통의 장을 잘 만들어주고 이것이 구성원의 자율성으로 연결될 수 있도록 도와줘야 한다고 생각합니다.                               이
면접자님께서 지금까지 인생을 살면서 가장 후회되는 일이 있으시다면 어떤 일일지 궁금한데요 한 가지만 골라서 말씀해 주시기 바랍니다,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 인생을 살면서 가장 후회되는 일은 도전을 더 하지 않은 것입니다. 기회는 다시 돌아오지 않고 경험은 돈으로 주고 살 수 없습니다. 저는 경험이 가장 중요하기 때문에 뭐든지 도전해 봤어야 한다고 생각합니다. 앞으로 어떤 기회가 오거나 어떠한 상황이 벌어져도 항상 도전하고 그것의 성공과 실패를 따지고 두려워하지 않고 시도해 보는 자세를 가질 것이며 큰 만족감이 될 거라 생각합니다.
본인이 생각하는 본인의 장점과 단점이 있으실 겁니다 그것에 대해서 설명해 주시길 바랍니다 그리고 본인의 장점과 단점을 어 특화시키고 또 그것을 극복하기 위해서 지금까지 기울였던 노력에 대해 말씀해 주세요,RND 직무의 인성면접에 참가하게 된 경력직 지원자입니다. 저는 항상 융복합에 대해 생각합니다. 하늘 아래에 새로운 것은 없다는 큰 전제 하에서 말씀드리는 겁니다. 제가 알고 있는 우리가 우리 주변에서 접하고 있는 대부분의 것들도 어떻게 보면 다 융복합의 결과입니다. 저는 그런 어떤 경계와 경계를 허무는 융복합이야말로 이 시대를 혁신할 수 있는 진정한 길이라고 생각을 하고 저 자신도 그런 융복합을 위해서 항상 제 어떤 장애 한계를 뛰어넘는 그런 노력을 해 왔기 때문에 지금 이렇게 말씀드릴 수 있습니다.
지금 공부하고 있는 분야는 무엇인가요 왜 그것을 공부하고 있는지 지금까지 배운 것들은 무엇인지도 자세하게 말씀해 주실 수 있을까요,RND 직무의 인성면접에 참가하게 된 신입 지원자입니다. 성인이 되어서 피아노를 치지 않다 보니 손이 많이 굳어 감각을 살리기 위해 피아노를 치기 시작했습니다. 피아노는 손이 긴 사람한테 유리하고 손이 길기 때문에 피아노를 치기 유리한 손이라고 생각하며 이 피아노를 치면 심신의 안정도 가져올 뿐만이 아니라 업무를 할 때 조금 더 차분하게 집중을 할 수 있습니다.
